store_id,product_id,forecast,current_stock,reorder_point,safety_stock,EOQ,order_qty,status
1,4,19,147,137.92885586975322,2.0573442650532696,595.1776549647981,0.0,Stock OK
2,5,20,105,158.88049507170558,13.972619427282957,614.650740608113,614.650740608113,Reorder Required
3,5,22,67,173.57373907189694,19.31993161124428,634.162212929886,634.162212929886,Reorder Required
1,2,22,58,173.7054065695591,19.24712346986421,634.5823898517187,634.5823898517187,Reorder Required
2,4,23,54,184.83903329549813,20.38617717397354,654.7916379841565,654.7916379841565,Reorder Required
2,3,23,84,185.0380071437299,20.11752177943965,655.7219421477693,655.7219421477693,Reorder Required
3,1,24,119,195.16613619328098,20.314767431834163,675.1759008792137,675.1759008792137,Reorder Required
2,1,24,122,195.18695341262733,20.267395868542057,675.3075410697343,675.3075410697343,Reorder Required
3,4,23,115,186.45103716018363,20.92880918466344,656.9171137706409,656.9171137706409,Reorder Required
1,3,22,95,174.14303339337042,18.756101121726953,636.4871802050346,636.4871802050346,Reorder Required
3,3,22,75,174.07108748889507,18.800066552873954,636.249741182365,636.249741182365,Reorder Required
1,2,20,128,160.94544603657909,15.267236091600793,616.2823253180378,616.2823253180378,Reorder Required
3,1,20,65,161.15010478315725,15.209541443743074,616.8370103015532,616.8370103015532,Reorder Required
3,5,20,83,160.46285938159326,14.795224043312631,616.2599573143535,616.2599573143535,Reorder Required
2,1,20,88,159.89317146726307,14.975699691358319,614.6710920612353,614.6710920612353,Reorder Required
3,2,20,64,160.6639444057914,14.76097597622478,616.7575552655067,616.7575552655067,Reorder Required
1,5,20,85,160.83767442128763,14.70547824748155,617.2418581505449,617.2418581505449,Reorder Required
1,1,20,55,160.90865269001378,14.68231324063058,617.4406501208081,617.4406501208081,Reorder Required
2,2,20,63,161.09980457928782,14.590927632200193,618.0368694832221,618.0368694832221,Reorder Required
2,5,20,54,161.11756295128936,14.585857389376889,618.0850180199326,618.0850180199326,Reorder Required
2,3,19,55,138.28227767221696,1.2972948261943542,597.6114285744916,597.6114285744916,Reorder Required
1,4,19,137,138.37845148241715,0.9568780103375667,598.5630072891781,598.5630072891781,Reorder Required
2,4,19,99,137.35255172523122,0.9172127306395208,596.4112838650976,596.4112838650976,Reorder Required
2,3,19,97,136.89839870166406,1.131897673095706,594.9476139929552,594.9476139929552,Reorder Required
2,1,19,101,136.77067491343917,1.0963620441204118,594.745589050486,594.745589050486,Reorder Required
1,2,20,111,159.78786110501466,14.514616461939864,615.4251393184709,615.4251393184709,Reorder Required
3,5,20,64,159.72289603391536,14.530276256641393,615.2543389218629,615.2543389218629,Reorder Required
2,5,20,101,159.81571687976614,14.505575777329454,615.5032871119687,615.5032871119687,Reorder Required
3,4,20,71,159.4787259468981,14.631285992352465,614.5225532500191,614.5225532500191,Reorder Required
2,2,20,113,160.54062885726802,14.37409335867117,617.3143761313879,617.3143761313879,Reorder Required
1,4,20,79,160.82878758288456,14.236194014023281,618.2134204569669,618.2134204569669,Reorder Required
1,3,20,51,160.916092443427,14.204814800675388,618.4636283312079,618.4636283312079,Reorder Required
1,5,19,54,138.8114944409927,1.7484333581058746,597.7817165825528,597.7817165825528,Reorder Required
2,4,19,121,138.36056667533572,1.9097781847277424,596.4450507505276,596.4450507505276,Reorder Required
3,2,21,50,163.8784198546231,16.7304258030891,619.3834366806691,619.3834366806691,Reorder Required
3,3,21,116,164.09066795868696,16.638785643484027,620.0226784161613,620.0226784161613,Reorder Required
1,1,20,138,163.37722787610744,16.781647323959145,618.2197188097803,618.2197188097803,Reorder Required
3,1,20,129,163.28738920666393,16.81233682554939,617.9655221491314,617.9655221491314,Reorder Required
2,1,20,99,163.46103195925585,16.770172861007634,618.4205894907989,618.4205894907989,Reorder Required
2,3,22,60,177.43869006538327,20.62685713105606,639.3988193218769,639.3988193218769,Reorder Required
1,1,22,63,177.49499988128628,20.583649420470145,639.6016780454506,639.6016780454506,Reorder Required
2,4,20,115,161.09564573781108,15.174823061008654,616.7952906355844,616.7952906355844,Reorder Required
2,5,20,91,161.47039311897268,15.061052094271464,617.8268913470362,617.8268913470362,Reorder Required
2,2,20,68,161.7074849408506,14.992906304221549,618.4705859870876,618.4705859870876,Reorder Required
1,4,22,55,173.4642200539351,17.991342814315743,636.6631773353331,636.6631773353331,Reorder Required
1,5,22,83,173.19814205973825,18.15660772081178,635.7793869041376,635.7793869041376,Reorder Required
3,3,20,73,158.0521287210332,13.085315172055658,614.7757253397186,614.7757253397186,Reorder Required
1,3,20,56,158.49185846635947,12.922397997769627,616.0522535295391,616.0522535295391,Reorder Required
3,4,20,66,158.32639713644718,12.998666797313858,615.5405381438778,615.5405381438778,Reorder Required
3,5,20,85,158.16767438840398,13.041562116824359,615.1134098633854,615.1134098633854,Reorder Required
3,1,20,142,157.72981502971302,13.1742571608973,613.903078798261,613.903078798261,Reorder Required
1,2,19,128,136.86988458857155,0.8547051937522173,595.4922362400769,595.4922362400769,Reorder Required
3,2,19,135,136.69135824043872,1.0786841414473693,594.610473011725,594.610473011725,Reorder Required
